title,patent_number
Online product exchange system with price-sorted matching products,US-7933806-B2
Pass through liquidity in a multi-tiered trading system and method,US-8260700-B2
Pass through liquidity in a multi-tiered trading system and method,US-7840478-B1
Pass through liquidity in a multi-tiered trading system and method,US-8407134-B2
Patronage incentive saving system and method for retail businesses,US-7574403-B2
Patronage incentive saving system and method for retail businesses,US-8185439-B2
Payment processing with selection of an electronic debiting option,US-7702583-B1
Payment system and method for use in an electronic commerce system,US-7146342-B1
Policy control and charging (PCC) rules based on mobility protocol,US-8155020-B2
Predicting economic trends via network communication mood tracking,US-8380607-B2
Preprocessor system and method for rejection of duplicate invoices,US-7003494-B2
Pricing across keywords associated with one or more advertisements,US-7668748-B1
Pricing across keywords associated with one or more advertisements,US-7930210-B2
Project risk management system utilizing probability distributions,US-7318039-B2
Providing trusted services management using a hybrid service model,US-8370263-B2
Proximity search and navigation for functional information systems,US-9990380-B2
Rapid categorization of data center serviceability characteristics,US-8121873-B1
Rapid tax collection system and method for debit-type transactions,US-6889200-B2
Region delimited coded data having unique length digital signature,US-7793854-B2
Retirement and financial planning calculator apparatus and methods,US-8069103-B1
Retirement and financial planning calculator apparatus and methods,US-7840463-B1
Reward system related to a vehicle-to-vehicle communication system,US-9355423-B1
"Role-playing simulation apparatus and method, and computer product",US-7228260-B2
Sales promotion system supporting a plurality of differing sellers,US-8464942-B2
Search engine system for locating web pages with product offerings,US-7430561-B2
Secure credit card and method and apparatus for utilizing the same,US-7210621-B2
Securely integrating third-party applications with banking systems,US-9525690-B2
Self learning method and system for managing a group reward system,US-9324023-B2
Self learning method and system for managing a group reward system,US-8224760-B2
Synthetic fixed income principal protected vehicle and methodology,US-8234199-B2
System and computer program for modeling and pricing loan products,US-8577791-B2
System and method for a web-based insurance communication platform,US-10043218-B1
System and method for accessing data objects via remote references,US-9906623-B2
System and method for accessing data objects via remote references,US-9621676-B2
System and method for accessing data objects via remote references,US-9378526-B2
System and method for administration of costs related to annuities,US-8265962-B2
System and method for approving a limit of check cashing over time,US-7775425-B1
System and method for arranging shipment and insurance for an item,US-9710740-B2
System and method for assessing a condition of an insured property,US-8306258-B2
System and method for automated documentation for solicited trades,US-7389257-B2
System and method for automated documentation for solicited trades,US-8027896-B2
System and method for calculating taxes and multi-currency pricing,US-7966231-B2
System and method for change management and transaction versioning,US-8135633-B1
System and method for collecting and distributing digital receipts,US-9626663-B2
System and method for collecting and distributing digital receipts,US-10026065-B2
System and method for creating electronic real estate registration,US-8160944-B2
System and method for creating electronic real estate registration,US-7693765-B2
System and method for delaying execution of financial transactions,US-9792651-B2
System and method for detecting potential property insurance fraud,US-8929586-B2
System and method for detecting potential property insurance fraud,US-9940677-B2
System and method for determining and analyzing building occupancy,US-5978769-A
System and method for determining trailing data adjustment factors,US-7844479-B2
System and method for determining trailing data adjustment factors,US-8793153-B2
System and method for determining trailing data adjustment factors,US-8078488-B2
System and method for dynamically managing business machine assets,US-9159100-B2
System and method for efficiently using collateral for risk offset,US-7426487-B2
System and method for efficiently using collateral for risk offset,US-8214278-B2
System and method for efficiently using collateral for risk offset,US-8055567-B2
System and method for enabling group channels in an IP marketplace,US-8775204-B2
System and method for facilitating trading in an electronic market,US-7945507-B2
System and method for facilitating trading in an electronic market,US-8069110-B2
System and method for facilitating trading in an electronic market,US-7689500-B2
System and method for generating customized odds bets for an event,US-8210926-B2
System and method for generating transaction based recommendations,US-7720732-B2
System and method for generating transaction based recommendations,US-8494946-B2
System and method for generating transaction based recommendations,US-8239310-B2
System and method for granting deposit-contingent e-mailing rights,US-7962561-B2
System and method for granting deposit-contingent e-mailing rights,US-7725546-B2
System and method for managing consumable return refund processing,US-8306877-B2
System and method for managing wireless point-of-sale transactions,US-8616448-B2
System and method for managing wireless point-of-sale transactions,US-7353991-B2
System and method for managing wireless point-of-sale transactions,US-7861930-B2
System and method for managing wireless point-of-sale transactions,US-9235861-B2
System and method for matching buyers and sellers in a marketplace,US-7502757-B2
System and method for matching participants in a rideshare program,US-7970533-B2
System and method for optimized funding of electronic transactions,US-7587363-B2
System and method for providing a credit account for debt recovery,US-7720757-B2
System and method for providing compensation to loan professionals,US-7292995-B1
System and method for providing insurance coverage recommendations,US-9940674-B2
System and method for reporting and analyzing mortgage information,US-8468085-B1
System and method for resource reduction financial impact analysis,US-7383217-B2
System and method for revolving credit product offer customization,US-8126805-B2
System and method for secure distribution of information via email,US-7827102-B2
System and method for secured account numbers in proximity devices,US-8762263-B2
System and method for simulating an electronic trading environment,US-7610240-B2
System and method for simulating an electronic trading environment,US-8694414-B2
System and method for simulating an electronic trading environment,US-7672895-B2
System and method for simulating an electronic trading environment,US-8239315-B2
System and method of automated 3D scanning for vehicle maintenance,US-9153079-B1
System and method of clearing services for risk management trading,US-8326730-B2
System and method of intra-cycle payment of accrued employee wages,US-8751338-B2
System and methods for community-based cause of loss determination,US-9892463-B1
System for and method of handling referrals from referring parties,US-7769649-B1
"System for funding, analyzing and managing health care liabilities",US-5136502-A
System for identifying and addressing concerns of medical patients,US-8538780-B1
"System, method and computer program product for transferring money",US-8571980-B1
"System, method, and computer-readable medium for settling accounts",US-7890397-B1
Systems and computer program products for exchanging an obligation,US-7725375-B2
Systems and methods for an online credit derivative trading system,US-8645258-B2
Systems and methods for an online credit derivative trading system,US-7587355-B2
Systems and methods for an online credit derivative trading system,US-8838497-B2
Systems and methods for an online credit derivative trading system,US-7801805-B2
Systems and methods for an online credit derivative trading system,US-7716114-B2
Systems and methods for an online credit derivative trading system,US-7698208-B2
Systems and methods for credit management risk rating and approval,US-8290857-B1
Systems and methods for credit management risk rating and approval,US-8150765-B1
Systems and methods for credit management risk rating and approval,US-7797230-B1
Systems and methods for detecting bust out fraud using credit data,US-8001042-B1
Systems and methods for detecting bust out fraud using credit data,US-7991689-B1
Systems and methods for detecting corporate financial transactions,US-7108174-B2
Systems and methods for detecting corporate financial transactions,US-7331514-B2
Systems and methods for facilitating aggregation of social credits,US-8725617-B2
Systems and methods for facilitating aggregation of social credits,US-8032436-B2
Systems and methods for performing wireless financial transactions,US-8214298-B2
Systems and methods for personal medical account balance inquiries,US-8744874-B2
Systems and methods for placing parimutuel wagers on future events,US-7454380-B2
Systems and methods for pre-authorized money transfer transactions,US-8775311-B2
Systems and methods for providing customized marketing information,US-8543430-B1
Systems and methods for redeeming rewards associated with accounts,US-8073736-B2
Systems and methods for risk stratification of patient populations,US-8515780-B2
Systems and methods for risk stratification of patient populations,US-8311849-B2
Systems and methods for risk stratification of patient populations,US-7853456-B2
Systems and methods for sharing data from web accessed calculators,US-7716156-B1
Systems and methods for sharing data from web accessed calculators,US-8103693-B1
Systems and methods for sharing data from web accessed calculators,US-8321423-B1
Systems and methods for sharing data from web accessed calculators,US-7917530-B1
Systems and methods to connect people in a marketplace environment,US-8180676-B2
Systems and methods to connect people in a marketplace environment,US-8484084-B2
Systems for accessing information related to an order of commodity,US-8407103-B2
Systems for digital management of underwriting insurance contracts,US-8073717-B2
Targeted delivery of informational content with privacy protection,US-7472093-B2
Trading program for interacting with market programs on a platform,US-7472087-B2
Trading program for interacting with market programs on a platform,US-7739174-B1
Transaction card assembly with transaction card and auxiliary item,US-8272565-B2
Transparently securing data for transmission on financial networks,US-8249993-B2
Transparently securing data for transmission on financial networks,US-7506812-B2
Tuning product policy using observed evidence of customer behavior,US-9224168-B2
Tuning product policy using observed evidence of customer behavior,US-8336085-B2
Vehicle accident response using diagnostic data burst transmission,US-9728087-B2
Video game apparatus and information storage medium for video game,US-6712703-B2
Video game apparatus and information storage medium for video game,US-7783535-B2
Video game with character parameters derived from other characters,US-7974901-B2
Accepting bids to advertise to users performing a specific activity,US-7299195-B1
Accepting bids to advertise to users performing a specific activity,US-7698165-B1
Accounting system and method for asynchronous transfer mode network,US-5623405-A
Advertising methods for advertising time slots and embedded objects,US-9154852-B2
Advertising methods for advertising time slots and embedded objects,US-7979877-B2
Advertising methods for advertising time slots and embedded objects,US-8522273-B2
Apparatus and method for facilitating trusted business intelligence,US-8010426-B2
Apparatus and methods for providing a payment system over a network,US-8738530-B2
Apparatus and methods for providing a payment system over a network,US-7739195-B2
Apparatus and methods for providing a payment system over a network,US-8015111-B2
Apparatus and methods for providing a payment system over a network,US-8386385-B2
Apparatus and methods to determine whether an order is a test order,US-7769680-B2
"Apparatuses, methods and systems for a financial transaction tagger",US-9063978-B1
Architectural design for expense reimbursement application software,US-8401936-B2
Architecture and method for bill presentment using a web-based tool,US-8175969-B2
Attachment integrated claims systems and operating methods therefor,US-8155979-B2
Attachment integrated claims systems and operating methods therefor,US-8676609-B2
Attachment integrated claims systems and operating methods therefor,US-7346768-B2
Automated banking machine system using plural communication formats,US-6539361-B1
Automated banking machine system using plural communication formats,US-6965879-B2
Automated check processing system with check imaging and accounting,US-7391897-B2
Automated check processing system with check imaging and accounting,US-7542598-B2
Automated check processing system with check imaging and accounting,US-7197173-B2
Automated display of an information technology system configuration,US-7568022-B2
Automated display of an information technology system configuration,US-7886040-B2
Automated exchange system for trading orders having a hidden volume,US-6983260-B2
Automated mining and processing of data associated with real estate,US-8468088-B2
Automated synchronization of orders represented in multiple markets,US-7792733-B1
Automated synchronization of orders represented in multiple markets,US-7783561-B1
Automated synchronization of orders represented in multiple markets,US-7835975-B1
Automatic reconciliation of discrepancies in asset attribute values,US-8671122-B2
Automatic reconciliation of discrepancies in asset attribute values,US-8095573-B2
"Billing cycle division system, method, and computer program product",US-8094793-B1
Brokerage transaction server and method using encapsulated messages,US-9009351-B2
Capturing text from rendered documents using supplement information,US-8831365-B2
Cash dispensing automated banking machine with chest locking device,US-7641106-B1
Cash dispensing automated banking machine with locking frame panels,US-7111776-B2
Cash dispensing automated banking machine with locking frame panels,US-7810717-B2
Casual access application with context sensitive pin authentication,US-7093281-B2
Charitable contribution station with promotional game piece feature,US-7236943-B1
"Communication terminal, server, playback control method and program",US-7881706-B2
Computer architecture and process for application processing engine,US-8843939-B2
Computer method and apparatus for vessel selection and optimization,US-6983186-B2
Computer system and computerized method for processing account data,US-8751468-B2
Computer system and method for determining optimal asset allocation,US-8150755-B2
Computer system and method for determining optimal asset allocation,US-8335736-B2
Computer system and method for determining optimal asset allocation,US-7925564-B2
Computer-implemented method and apparatus for portfolio compression,US-6278981-B1
Computer-implemented method for displaying price and value extremes,US-7844487-B2
Computer-implemented patent portfolio analysis method and apparatus,US-8095581-B2
Computer-implemented patent portfolio analysis method and apparatus,US-9710457-B2
Computer-implemented personal information manager method and system,US-7860805-B2
Computer-implemented personal information manager method and system,US-8311951-B2
Computer-implemented personal information manager method and system,US-8639635-B2
Computerized method and system for accumulating liability estimates,US-8468035-B2
Computerized method and system for creating a new brokerage account,US-7933819-B2
Conditional fee ownership home financing system and business method,US-7395233-B2
Conditional fee ownership home financing system and business method,US-7346567-B2
Conditional purchase offer (CPO) management system for collectibles,US-6108639-A
Consistency modeling of healthcare claims to detect fraud and abuse,US-8639522-B2
Consistency modeling of healthcare claims to detect fraud and abuse,US-7813937-B1
Content sales price accounting system and accounting method thereof,US-5918215-A
Controlling autonomous vehicles to optimize traffic characteristics,US-9947052-B1
Controlling price cascade movements in an electronic trading system,US-9922372-B2
Controlling price cascade movements in an electronic trading system,US-8417619-B2
Controlling price cascade movements in an electronic trading system,US-9799074-B2
Device for automatically processing and monitoring dangerous events,US-8290794-B2
"Device, system, and method for location-based payment authorization",US-8566233-B2
"Device, system, and method of generating a customized trade article",US-8370234-B2
"Device, system, and method of generating a customized trade article",US-8732051-B2
Document signing using action responsive secure document generation,US-9953019-B2
Domain specific return on investment model system and method of use,US-7603304-B2
Due diligence systems with integrated indication of required action,US-9171333-B2
Dynamic pairing system for securing a trusted communication channel,US-8924296-B2
Economic opportunity pursuit management and presentation generation,US-8346583-B2
Efficient search of supplier servers based on stored search results,US-7979457-B1
"Electric vehicle, management apparatus, and drive management method",US-8565950-B2
Electronic document presentment services in the event of a disaster,US-7698151-B2
Electronic manager of financial information for retail transactions,US-9026469-B2
Electronic menu document creator in a virtual financial environment,US-7167844-B1
Enabling transactional mechanisms in an automated controller system,US-8275680-B2
Enterprise fulfillment system with dynamic prefetching capabilities,US-9697524-B1
Exception reduction and event reordering in an item tracking system,US-7331527-B2
Exchange trading of mutual funds or other portfolio basket products,US-7747512-B2
Exchange trading of mutual funds or other portfolio basket products,US-8341070-B2
Exchange trading of mutual funds or other portfolio basket products,US-8024258-B2
Exchange trading of mutual funds or other portfolio basket products,US-7970687-B2
Expected utility maximization in large-scale portfolio optimization,US-8548890-B2
Facilitator for aggregating buyer power in an on-line market system,US-6584451-B1
Financial system that provides investment funds and a death benefit,US-7873559-B2
Financial system that provides investment funds and a death benefit,US-7580879-B2
Framework for business applications providing financial integration,US-6070152-A
Funds distribution system connected with point of sale transactions,US-7171370-B2
Funds distribution system connected with point of sale transactions,US-6088682-A
Generating method for transaction models with indicators for option,US-8463678-B2
Generation and utilization of a database of cell phone usage events,US-9055407-B1
Goods database employing electronic title or documentary-type title,US-5063507-A
Graph viewer displaying predicted account balances and expenditures,US-8473858-B2
Identifying a group of products relevant to data provided by a user,US-8458205-B2
Implementing a counter offer for an on line credit card application,US-6795812-B1
Intermediary driven electronic marketplace for cross-market trading,US-7222089-B2
Investment classification and tracking system using diamond ratings,US-8352347-B2
Investment strategies utilizing principal protection of investments,US-7702558-B1
Logistics-exposure management integration for commodity price risks,US-8543480-B2
Mathematical decomposition of table-structured electronic documents,US-7653871-B2
Mechanisms for executing a process in a cloud computing environment,US-9037505-B2
Method and apparatus for credit brokering for point-of-sale leasing,US-8370253-B1
Method and apparatus for dynamically determining insurance coverage,US-8041636-B1
Method and apparatus for estimating the spend capacity of consumers,US-7788152-B2
Method and apparatus for estimating the spend capacity of consumers,US-7788147-B2
Method and apparatus for estimating the spend capacity of consumers,US-8131639-B2
Method and apparatus for estimating the spend capacity of consumers,US-7991666-B2
Method and apparatus for indexing database columns with bit vectors,US-5649181-A
Method and apparatus for mapping sources and uses of consumer funds,US-8255326-B2
Method and apparatus for operational risk assessment and mitigation,US-7979298-B2
Method and apparatus for optimizing a portfolio of financial assets,US-8433635-B1
Method and apparatus for performing insurance insolvency operations,US-7509265-B1
Method and apparatus for performing transaction item identification,US-9424610-B1
Method and apparatus for receiving an insurance quote from an image,US-9589202-B1
Method and apparatus for secure wireless point of sale transactions,US-9563889-B2
Method and apparatus for tracking financial transactions for a user,US-7860934-B1
Method and system for auction of assets with non-exclusivity of use,US-7516093-B1
Method and system for auctioning bankruptcy assets and valuing same,US-7249089-B2
Method and system for automated processing of insurance information,US-8095393-B2
Method and system for developing and applying market data scenarios,US-8781935-B1
Method and system for developing and applying market data scenarios,US-8671042-B2
Method and system for developing and applying market data scenarios,US-8175941-B2
Method and system for differential index bidding in online auctions,US-6564192-B1
Method and system for executing trades in a user preferred security,US-7970694-B2
Method and system for executing trades in a user preferred security,US-7962398-B1
Method and system for finding similar charts for financial analysis,US-7877317-B2
Method and system for flexible budgeting in a purchase order system,US-7813949-B2
Method and system for generating personal/individual health records,US-7707047-B2
Method and system for generating personal/individual health records,US-8131563-B2
Method and system for generating personal/individual health records,US-7428494-B2
Method and system for generating personal/individual health records,US-7475020-B2
Method and system for generating personal/individual health records,US-7440904-B2
Method and system for generating personal/individual health records,US-7509264-B2
Method and system for generating personal/individual health records,US-8214234-B2
Method and system for objectively optimizing manufacturing sourcing,US-7865381-B2
Method and system for offering debt recovery products to a customer,US-7559217-B2
Method and system for populating a form based on an existing format,US-7971141-B1
Method and system for product configuration definition and tracking,US-5311424-A
Method and system for providing a healthcare bill settlement system,US-8060382-B1
Method and system for providing a higher credit limit to a customer,US-7472090-B1
Method and system for representing dependencies in a financial plan,US-7363263-B1
Method and system for searching information using processing sensor,US-6865570-B2
Method and systems for distributed signals for use with advertising,US-9799042-B2
"Method and tool for portfolio monitoring, rebalancing and reporting",US-8566184-B1
Method for accelerating access to a database clustered partitioning,US-5710915-A
Method for providing funding of and access to an investment vehicle,US-7761376-B2
Method for scheduling and rescheduling vehicle service appointments,US-8135804-B2
Method for use of environmental classification in product selection,US-8032389-B2
Method of implementing account charging and account charging system,US-7526075-B2
Method of matching hedge funds and investors and apparatus therefor,US-8468078-B2
Method of matching hedge funds and investors and apparatus therefor,US-9070165-B2
Method of providing catastrophic loss protection through a mortgage,US-8290846-B2
Method of providing catastrophic loss protection through a mortgage,US-7958034-B2
"Method, system, and computer program product for card selector tool",US-7587349-B2
"Method, system, and computer program product for spend mapping tool",US-8694368-B2
"Method, system, and device for implementing network banking service",US-9015065-B2
"Method, system, and medium for winning bid evaluation in an auction",US-8095428-B2
Methods and apparatus for freshness and completeness of information,US-7809610-B2
Methods and apparatus for freshness and completeness of information,US-7571106-B2
Methods and apparatus for freshness and completeness of information,US-8412536-B2
Methods and apparatus for freshness and completeness of information,US-8700493-B2
Methods and apparatus for simulating a distributed business process,US-8849646-B2
Methods and apparatus for simulating a distributed business process,US-8370123-B2
Methods and apparatus for simulating a distributed business process,US-7752027-B2
Methods and apparatus for simulating a distributed business process,US-7996205-B2
Methods and apparatus for simulating a distributed business process,US-9336026-B2
Methods and apparatus for simulating a distributed business process,US-9558018-B2
Methods and apparatuses for financing and marketing a creative work,US-7885887-B2
Methods and system for assessing loss severity for commercial loans,US-8065214-B2
Methods and systems for integrated and automated financial services,US-8606708-B1
Methods and systems for measuring performance of a security analyst,US-7636680-B2
Methods and systems for multi-credit reporting agency data modeling,US-8489502-B2
Methods and systems for multi-credit reporting agency data modeling,US-7930242-B2
Methods and systems for processing electronic cross-border payments,US-8626653-B1
Methods and systems for providing GMWB hedging and GMDB reinsurance,US-8744877-B2
Methods and systems for providing and maintaining retirement income,US-8909540-B1
Methods and systems of controlling activities of financial accounts,US-8249986-B2
Methods for performing large scale auctions and online negotiations,US-6151589-A
Methods of identifying biological patterns using multiple data sets,US-6882990-B1
Methods of offering and providing a variable life insurance product,US-8660863-B2
Methods of producing organic products with photosynthetic organisms,US-9695372-B2
Motor vehicle monitoring system for determining a cost of insurance,US-5797134-A
Motor vehicle monitoring system for determining a cost of insurance,US-6064970-A
"Multiple modular asset constructor apparatuses, methods and systems",US-9818156-B2
Obtaining consent for electronic delivery of compliance information,US-7890400-B2
Obtaining consent for electronic delivery of compliance information,US-7885874-B2
Obtaining consent for electronic delivery of compliance information,US-7890399-B2
Obtaining consent for electronic delivery of compliance information,US-7885875-B2
Obtaining consent for electronic delivery of compliance information,US-7885877-B2
Obtaining consent for electronic delivery of compliance information,US-7885873-B2
Obtaining consent for electronic delivery of compliance information,US-6782506-B1
Obtaining consent for electronic delivery of compliance information,US-7885872-B2
Obtaining consent for electronic delivery of compliance information,US-7885876-B2
Obtaining consent for electronic delivery of compliance information,US-8566195-B2
Online auction system facilitating flexible terms commodity trading,US-7765141-B1
Online purchase from a mobile device using a default payment method,US-8589237-B2
Online system and method for processing life insurance applications,US-8650049-B1
Online system and method for processing life insurance applications,US-7765115-B1
Order placement and acceptance management system and method thereof,US-7461011-B2
Parallel availability control checks in financial management system,US-8606668-B2
Parallel composition of electronic responses to electronic requests,US-7725818-B1
Personal advisor service and mechanisms for advice and interactions,US-7908182-B1
Portfolio structuring using low-discrepancy deterministic sequences,US-6058377-A
Presentation service architectures for netcentric computing systems,US-6988249-B1
Price change of orders from reserve in an electronic trading system,US-7822672-B2
Real-time portfolio balancing and/or optimization system and method,US-8065217-B2
Relative spending pattern reports for a financial management system,US-9754318-B1
Revenue management systems and methods with re-rating and rebilling,US-8422651-B2
Revenue share interest method of financing an asset management firm,US-7574390-B1
Risk management contracts and method and apparatus for trading same,US-7693778-B2
Risk management information interface system and associated methods,US-7441197-B2
Risk management information interface system and associated methods,US-7536405-B2
Security instrument data system without property inapplicable nulls,US-5227967-A
"Software article, system and method for physician referral services",US-7558738-B1
System and computer implemented method for facilitating order entry,US-7603290-B1
System and method for MICR-based duplicate detection and management,US-8326761-B1
System and method for MICR-based duplicate detection and management,US-8060442-B1
System and method for a frame-based internet enabled user interface,US-9213967-B1
System and method for administering a brokerage rebate card program,US-8719085-B2
System and method for administering a brokerage rebate card program,US-6985873-B2
System and method for analyzing distributions for taxation analysis,US-7974903-B2
System and method for assessing a claim using an inspection vehicle,US-9262789-B1
System and method for assessing and managing financial transactions,US-8086529-B2
System and method for assessing and managing financial transactions,US-7827099-B1
System and method for assessing and managing financial transactions,US-8095461-B2
System and method for assessing and managing financial transactions,US-8005752-B1
System and method for assessing and managing financial transactions,US-8396791-B2
System and method for betting on a participant in a group of events,US-8764558-B2
System and method for betting on a participant in a group of events,US-8353763-B2
System and method for consumer control over card-based transactions,US-7359880-B2
System and method for consumer control over card-based transactions,US-8321315-B2
System and method for consumer control over card-based transactions,US-8510218-B2
System and method for consumer control over card-based transactions,US-7783569-B2
System and method for deep interaction modeling for fraud detection,US-7552865-B2
System and method for determining model credit default swap spreads,US-8805735-B1
System and method for electronically processing invoice information,US-6360211-B1
System and method for electronically processing invoice information,US-6058380-A
System and method for executing cash payment via a computer network,US-7890404-B2
System and method for facilitating a wireless financial transaction,US-8086519-B2
System and method for facilitating electronic commerce transactions,US-7590558-B2
System and method for facilitating large scale payment transactions,US-8386384-B2
System and method for facilitating large scale payment transactions,US-8595135-B2
System and method for facilitating large scale payment transactions,US-8234214-B2
System and method for facilitating large scale payment transactions,US-8352367-B2
System and method for facilitating the amending of syndicated loans,US-8589272-B1
System and method for facilitating trading of financial instruments,US-7769668-B2
System and method for generating a personalized tax advice document,US-7539635-B1
System and method for implementing healthcare fraud countermeasures,US-7421399-B2
System and method for implementing healthcare fraud countermeasures,US-7421398-B2
System and method for implementing healthcare fraud countermeasures,US-7209886-B2
System and method for managing investments in infrastructure assets,US-8249971-B2
System and method for managing tier-priced commodities transactions,US-7577606-B1
System and method for managing transactions relating to real estate,US-6321202-B1
System and method for optimizing investments within an organization,US-7761359-B2
System and method for prepurchased replenishment of pharmaceuticals,US-8412538-B2
System and method for processing expiration dates for prepaid cards,US-8505815-B2
System and method for processing expiration dates for prepaid cards,US-8118219-B2
System and method for processing expiration dates for prepaid cards,US-8740068-B2
System and method for processing payroll related insurance premiums,US-8112333-B2
System and method for processing payroll related insurance premiums,US-8355971-B2
System and method for providing recovery for victims of check fraud,US-8346637-B2
System and method for real-time validation of structured data files,US-7865477-B2
System and method for scheduling harvesting of personal information,US-7765279-B1
System and method for selectable funding of electronic transactions,US-7801814-B2
System and method for selectable funding of electronic transactions,US-8285641-B2
System and method for supporting a security-trade financing service,US-7856398-B2
System and method for supporting a security-trade financing service,US-7340432-B1
System and method for tracking the return of loaned or rented items,US-8386347-B2
System and method for transferring a service policy between domains,US-8095402-B2
System and method for using composite scoring in an auction process,US-7340428-B1
System and method to monitor and reduce vehicle operator impairment,US-8981942-B2
System and method to support codec delivery models for IMS networks,US-10038760-B2
System for converting paper money orders to electronic money orders,US-8548907-B1
System for facilitating production of variable offer communications,US-8352317-B2
System for managing hedged investments for life insurance companies,US-6049772-A
"System, method and program product for administering fund movements",US-8589289-B1
"System, method, and apparatus for trading in a decentralized market",US-8510204-B2
Systems and methods associated with insurance for electric vehicles,US-8731974-B2
Systems and methods for adaptive identification of sources of fraud,US-8458069-B2
Systems and methods for authenticating mobile device communications,US-9106633-B2
Systems and methods for conducting derivative trades electronically,US-7761368-B2
Systems and methods for creating a database for accounting purposes,US-7747490-B2
Systems and methods for determining bids for placing advertisements,US-8175950-B1
Systems and methods for determining bids for placing advertisements,US-8566207-B2
Systems and methods for identification and authentication of a user,US-7548890-B2
Systems and methods for implementing an interest-bearing instrument,US-8452700-B2
Systems and methods for monitoring credit of trading counterparties,US-7917423-B2
Systems and methods for monitoring credit of trading counterparties,US-8732069-B2
Systems and methods for monitoring credit of trading counterparties,US-8271376-B2
Systems and methods for pairing a credential to a device identifier,US-9178889-B2
Systems and methods for performing integrated financial transaction,US-6606606-B2
Systems and methods for providing a data glossary management system,US-8661065-B2
Systems and methods for retrieving items for a customer at checkout,US-10062066-B2
Systems and methods for selectively delaying financial transactions,US-7346575-B1
Systems and methods for visualizing an accident involving a vehicle,US-8954226-B1
Systems and methods of processing health care claims over a network,US-8515784-B2
Systems and methods to perform credit valuation adjustment analyses,US-8074873-B1
Systems and methods to perform credit valuation adjustment analyses,US-8584933-B1
Systems and methods to perform credit valuation adjustment analyses,US-9117245-B1
Systems and methods to perform credit valuation adjustment analyses,US-7530490-B1
Technique for calculating payee specific time to payment completion,US-7930248-B1
Time-dependent response to user-determined unauthorized transaction,US-8615438-B2
User authentication system and method for encryption and decryption,US-8359476-B2
User authentication system and method for encryption and decryption,US-8762713-B2
User authentication system and method for encryption and decryption,US-9203626-B2
Using commercial share of wallet to compile marketing company lists,US-8352343-B2
Using commercial share of wallet to compile marketing company lists,US-8131614-B2
Using commercial share of wallet to compile marketing company lists,US-8175945-B2
Utilizing near field communication to improve customer interactions,US-9727872-B2
3-D graphical visualization of diversification of portfolio holdings,US-10043216-B2
"Accounting device, communicating apparatus, and communication system",US-6144946-A
Advertising system supporting multi-advertiser system communications,US-8468055-B2
Architecture for a system and method for work and revenue management,US-8918506-B1
Attributing and allocating advertising revenue for embedded software,US-9652786-B2
Automatic currency processing system having ticket redemption module,US-7149336-B2
Automatic currency processing system having ticket redemption module,US-7778456-B2
Automatic currency processing system having ticket redemption module,US-8023715-B2
Automatic currency processing system having ticket redemption module,US-6778693-B2
Automatic delinquency item processing with customization for lenders,US-8224745-B2
Benefits administration system and methods of use and doing business,US-8078481-B2
Broadcasting information related to hazards impacting vehicle travel,US-10055985-B1
Broadcasting information related to hazards impacting vehicle travel,US-9842496-B1
Brokering and facilitating consumer projects in an e-commerce system,US-6965877-B2
Buyer routing arrangements and methods for disparate network systems,US-9251510-B2
Collection and analysis of trading data in an electronic marketplace,US-7603300-B2
Common customer interface for telecommunications operational support,US-7539764-B2
"Communications terminal, server, playback control method and program",US-7502344-B2
"Communications terminal, server, playback control method and program",US-7734248-B2
"Communications terminal, server, playback control method and program",US-7907563-B2
"Communications terminal, server, playback control method and program",US-8929299-B2
"Communications terminal, server, playback control method and program",US-8238291-B2
"Communications terminal, server, playback control method and program",US-8570949-B2
Computer accounting method using natural language speech recognition,US-7110952-B2
Computer implemented method of tracking customer spending and income,US-8229806-B1
Computer implemented process for executing accounting theory systems,US-5317504-A
Computer method and system for intermediated exchange of commodities,US-5873071-A
Computer reservation and usage monitoring system and related methods,US-8401880-B2
Computer reservation and usage monitoring system and related methods,US-7657448-B2
Computer-implemented process of reporting injured worker information,US-6065000-A
Computer-implemented systems and methods for blotter synchronization,US-8285630-B2
Computerized inventory monitoring and verification system and method,US-5644725-A
Computerized inventory monitoring and verification system and method,US-5319544-A
Configuring computer systems with business configuration information,US-8095564-B2
Configuring computer systems with business configuration information,US-8095562-B2
Configuring computer systems with business configuration information,US-7774369-B2
Configuring computer systems with business configuration information,US-8095563-B2
Consistent interface for financial instrument impairment calculation,US-9547833-B2
Consolidated billing system and method for use in telephony networks,US-6266401-B1
Consolidated billing system and method for use in telephony networks,US-7797206-B1
Data processing methods and apparatus for managing vehicle financing,US-4736294-A
Deposit accepting method and apparatus for automated banking machine,US-7366750-B1
Digital computer system for operating a customizable investment fund,US-7447651-B1
Domain-specific syntactic tagging in a functional information system,US-9098564-B2
Drift determination in multi-style managed client investment account,US-7809624-B1
Dynamic adaption of electronic routing slips for financial messaging,US-9412091-B2
Dynamic adaption of electronic routing slips for financial messaging,US-9749281-B2
Dynamic query sequences for retrieval of negotiable instrument image,US-8478744-B1
Dynamic query sequences for retrieval of negotiable instrument image,US-9195978-B1
Electronic Billing with required viewing of supplemental information,US-7302411-B2
Electronic bill processing with multi-level bill information storage,US-7636688-B2
Electronic communication network ranking for automated market system,US-7801795-B2
